"BIF","median","CI.lower","CI.upper","Relative.Cond..Bias","RMSD.ratio"
"(Intercept)",1,-1.976,-3.146,-0.44,0.083,1.236
"victim_3groupv1_1or2_times",1,1.864,1.484,2.314,0.039,1.093
"victim_3groupv2_repeated_being_bullied",1,2.151,1.394,2.883,0.054,1.135
"bis1_standardized",1,0.534,0.319,0.764,0.043,1.053
"firstrses_standardized",0.836,0.284,0,0.527,0.148,1.302
"q5_a沒有",0.798,0.718,0,1.329,0.212,1.313
"AUDIT_C_4_a>=4",0.794,0.924,0,1.794,0.214,1.315
"PHQ9_1yr_new6-10",0.774,0.427,0,0.896,0.134,1.257
"PHQ9_1yr_new11-14",0.774,0.483,-0.178,1.371,0.16,1.17
"PHQ9_1yr_new15以上",0.774,0.143,-0.922,1.23,0.287,1.104
"q3_a男",0.708,0.408,0,0.86,0.265,1.329
"school_PRPR<70",0.658,0.375,0,0.809,0.375,1.29
"q22_0_a",0.52,-0.04,-0.095,0,0.603,1.246
"q7_a是",0.503,-0.404,-1.074,0,0.654,1.259
"q8_a否",0.289,0,0,0.83,1.551,1.075
"q68_a是",0.232,0,-0.945,1.251,4.53,1.035
"q6_a沒有",0.206,0,-0.55,0.405,2.745,0.916
