"var","global_coef","global_sd","BIF","selected_model_coef","selected_model_coef_sd","boot_coef_median","PR2.5","PR97.5","relative_bias","RMSD"
"1","Intercept",-1.801,0.683,1,-1.975,0.666,-1.959,-3.149,-0.712,8.8,0.966
"2","victim_3group=v1_1or2_times",1.867,0.214,1,1.869,0.212,1.916,1.49,2.351,2.6,1.077
"3","victim_3group=v2_repeated_being_bullied",2.075,0.349,1,1.975,0.342,2.068,1.374,2.825,-0.3,1.054
"4","bis1_standardized",0.494,0.111,1,0.441,0.108,0.446,0.241,0.688,-8.5,1.102
"5","AUDIT_C_4_a=>=4",1.034,0.436,0.966,0.946,0.426,0.965,0,1.913,-2.8,1.086
"6","q22_0_a",-0.042,0.029,0.9445,-0.029,0.028,-0.03,-0.085,0.016,-22.1,0.996
"7","PHQ9_1yr_new=6-10",0.412,0.238,0.9355,0.245,0.226,0.243,-0.195,0.699,-35.9,1.196
"8","PHQ9_1yr_new=11-14",0.547,0.396,0.9355,0.33,0.383,0.326,-0.45,1.095,-35.5,1.148
"9","PHQ9_1yr_new=15以上",0.304,0.481,0.9355,-0.075,0.447,-0.004,-1.058,0.877,-120.4,1.253
"10","school_PR=PR<70",0.372,0.211,0.8985,0.332,0.207,0.31,0,0.752,-7,1.038
"11","q5_a=沒有",0.81,0.32,0.8145,0.836,0.303,0.802,0,1.423,9.8,1.365
"12","q68_a=是",0.261,0.488,0.6995,0.31,0.485,0.32,-0.202,1.447,126.4,1.014
"13","q3_a=男",0.404,0.213,0.696,0.445,0.209,0.439,0,0.899,36.3,1.399
"14","q8_a=否",0.271,0.312,0.3615,NA,NA,0,0,0.975,121.2,1.052
"15","q6_a=沒有",0.019,0.227,0.2095,NA,NA,0,-0.46,0,-1552.4,0.687
"16","firstrses_standardized",0.269,0.122,0.133,NA,NA,0,0,0.241,-46.1,2.113
"17","q7_a=是",-0.428,0.312,0.0305,NA,NA,0,-0.018,0,110.7,1.421
