"fact","level","OR.CI","p_value","star","dep_var"
"1","q3_a","男","1.38(1.03-1.85)",0.03174,"*","firstyrbully2"
"2","q5_a","沒有","1.48(1.09-1.99)",0.01065,"*","firstyrbully2"
"3","school_PR","PR<70","1.73(1.28-2.32)",0.00029,"***","firstyrbully2"
"4","q6_a","沒有","1.26(0.94-1.7)",0.1219,"ns","firstyrbully2"
"5","q7_a","是","1(0.75-1.34)",1,"ns","firstyrbully2"
"6","q8_a","否","1.16(0.87-1.56)",0.30607,"ns","firstyrbully2"
"7","q22_a","有","1.14(0.85-1.52)",0.39216,"ns","firstyrbully2"
"8","q68_a","是","1.49(1.11-2)",0.00768,"**","firstyrbully2"
"9","AUDIT_C_4_a",">=4","1.94(1.44-2.6)",1e-05,"***","firstyrbully2"
"10","PHQ9_1yr_new","6-10","1.88(1.37-2.58)",9e-05,"***","firstyrbully2"
"11","PHQ9_1yr_new","11-14","1.49(1.05-2.11)",0.02475,"*","firstyrbully2"
"12","PHQ9_1yr_new","15以上","1.44(1.01-2.05)",0.04388,"*","firstyrbully2"
